,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,75,US,1552366487,59,42.65,-73.75,34.0,16.11
1,Mataura,36,NZ,1552366207,79,-46.19,168.86,68.0,5.01
2,Geraldton,20,CA,1552363200,77,49.72,-86.95,3.2,3.36
3,Victoria,75,BN,1552365000,70,5.28,115.24,86.0,8.05
4,Vaini,0,IN,1552363200,32,15.34,74.49,82.4,4.7
5,Fairbanks,90,US,1552366520,64,64.84,-147.72,35.6,3.36
6,Klaksvik,24,FO,1552364400,86,62.23,-6.59,39.2,8.05
7,Bria,0,CF,1552366648,69,6.54,21.99,75.66,3.51
8,Rikitea,76,PF,1552366649,100,-23.12,-134.97,77.28,24.32
9,Tasiilaq,88,GL,1552362600,73,65.61,-37.64,19.4,2.24
10,Khatanga,76,RU,1552366652,91,71.98,102.47,10.59,3.4
11,Buckeye,75,US,1552366569,93,33.37,-112.58,57.99,6.93
12,Pueblo Bello,8,CO,1552366655,91,8.2,-76.53,79.62,8.43
13,Saint-Joseph,0,FR,1552366076,51,43.56,6.97,44.6,4.7
14,Pevek,0,RU,1552366505,85,69.7,170.27,-19.65,5.08
15,Severo-Kurilsk,68,RU,1552366659,98,50.68,156.12,28.05,25.55
16,Hobart,0,AU,1552366046,33,-42.88,147.33,62.6,14.99
17,Srednekolymsk,68,RU,1552366662,61,67.46,153.71,4.38,2.95
18,Vagur,12,FO,1552366663,93,61.47,-6.81,46.59,30.13
19,La Reforma,20,GT,1552364403,88,14.8,-91.82,75.2,1.95
20,Punta Arenas,20,CL,1552366402,81,-53.16,-70.91,42.8,10.29
21,Kautokeino,24,NO,1552366667,60,69.01,23.04,-8.22,2.62
22,Carnarvon,56,ZA,1552366668,87,-30.97,22.13,59.91,14.92
23,Cherskiy,56,RU,1552366670,69,68.75,161.3,-5.43,2.17
24,Hilo,75,US,1552366638,73,19.71,-155.08,72.0,8.05
25,Katangli,92,RU,1552366672,94,51.71,143.23,28.68,17.27
26,Yellowknife,90,CA,1552366381,79,62.45,-114.38,25.0,2.24
27,Udachnyy,56,RU,1552366557,62,66.42,112.4,14.82,3.4
28,Nemuro,75,JP,1552363200,80,43.32,145.57,33.8,4.7
29,Cape Town,90,ZA,1552366563,100,-33.93,18.42,62.01,8.05
30,Sechura,12,PE,1552366679,90,-5.56,-80.82,74.22,4.41
31,Sitka,92,US,1552365998,88,37.17,-99.65,46.99,11.01
32,Antofagasta,90,CL,1552363200,72,-23.65,-70.4,66.2,8.05
33,Rio Grande,80,BR,1552366384,90,-32.03,-52.1,73.32,16.6
34,Ushuaia,20,AR,1552363200,75,-54.81,-68.31,42.8,20.8
35,Oranjestad,20,AW,1552363200,83,12.52,-70.03,77.0,14.99
36,Namagiripettai,0,IN,1552365000,48,11.46,78.27,87.8,6.93
37,Lebu,20,ET,1552363200,62,8.96,38.73,59.0,4.7
38,Pastavy,20,BY,1552366689,74,55.11,26.84,25.53,15.82
39,Saldanha,20,PT,1552366691,78,41.42,-6.55,34.8,2.95
40,Jamestown,80,AU,1552366693,91,-33.21,138.6,64.5,8.21
41,Abu Dhabi,0,AE,1552363200,77,24.47,54.37,60.8,5.82
42,Sabang,36,PH,1552366695,77,13.72,123.58,82.95,4.18
43,Chokurdakh,0,RU,1552366697,60,70.62,147.9,-7.14,7.99
44,Amalapuram,20,IN,1552363200,62,16.58,82.0,86.0,4.7
45,Rawson,0,AR,1552366700,85,-43.3,-65.11,53.88,10.22
46,Faanui,56,PF,1552366693,100,-16.48,-151.75,82.86,9.78
47,Nikolskoye,90,RU,1552366398,92,59.7,30.79,23.0,8.95
48,Barrow,56,AR,1552366703,71,-38.31,-60.23,60.27,6.76
49,Port Alfred,44,ZA,1552366401,97,-33.59,26.89,66.99,1.01
50,Bredasdorp,92,ZA,1552365903,88,-34.53,20.04,64.4,4.7
51,Kodiak,1,US,1552366707,34,39.95,-94.76,37.99,6.93
52,Asyut,0,EG,1552363200,76,27.18,31.19,48.2,5.82
53,NEDJO,0,ET,1552366710,26,9.5,35.5,76.29,2.95
54,Port Hedland,8,AU,1552365000,50,-20.31,118.58,95.0,18.34
55,Mount Gambier,75,AU,1552363200,45,-37.83,140.78,62.6,18.34
56,Ugoofaaru,0,MV,1552366714,98,5.67,73.0,84.48,10.67
57,Chuy,24,UY,1552366715,93,-33.69,-53.46,67.29,9.1
58,Dudinka,68,RU,1552366717,88,69.41,86.18,7.98,15.26
59,Rocky Mountain House,20,CA,1552366568,56,52.38,-114.92,33.27,7.87
60,Pisco,0,PE,1552363200,78,-13.71,-76.2,73.4,9.17
61,Saskylakh,48,RU,1552366720,77,71.97,114.09,-4.35,3.4
62,Ancud,12,CL,1552363200,93,-41.87,-73.83,48.2,2.06
63,Byron Bay,12,AU,1552366626,70,-28.65,153.62,102.2,11.41
64,Busselton,64,AU,1552366560,23,-33.64,115.35,87.01,11.68
65,Minatitlan,0,MX,1552366727,88,19.39,-104.05,57.03,2.28
66,Butaritari,64,KI,1552366728,100,3.07,172.79,82.32,13.69
67,Olinda,40,EC,1552366510,78,-2.03,-79.75,82.4,4.7
68,Hasaki,20,JP,1552366176,31,35.73,140.83,64.0,9.17
69,Kapaa,75,US,1552366699,69,22.08,-159.32,77.0,16.11
70,Jalhay,0,BE,1552366629,80,50.56,5.96,41.0,12.75
71,Huambo,48,AO,1552366735,91,-12.78,15.73,56.76,2.62
72,Castro,0,CL,1552363200,93,-42.48,-73.76,48.2,3.06
